,TweetID,TweetContent,TweeterUsername,TweetDatetime,TweetLongitude,TweetLatitude,TweetPlace
465,1543304751131000832,"Brittney Griner Reportedly Only Had .7 Grams Of THC When
Detained By Russian Authorities 
Getty Image Brittney Griner’s trial in Russia has officially begun Russian prosecutors reveal Griner was only carrying .7 grams of Cannabis oil in vape pens when de… https://t.co/QdfQmPwK8D",TibetEllor,2022-07-02 18:45:00+00:00,,,
466,1543304562118778880,i found juul pods I am god,BatKountry,2022-07-02 18:44:15+00:00,,,
467,1543304476433399809,Juul Finally Banned After Years Of Lies Exposed https://t.co/wZHbUCYZ0i via @YouTube,shell_loyd,2022-07-02 18:43:55+00:00,,,
468,1543304450382696448,"Only @candyassvip can make #Shisha even sexier, it's a lot like me #vaping, even if I do enjoy it, not for quitting smoking of course, but as a new interest, following the end of my Tattoo Addiction, with my late dad's name ""Morris"" being my seventh and last tattoo ever  💨",MartynWilliams6,2022-07-02 18:43:48+00:00,,,
469,1543303880087199744,The latest on Startup Catalyst Brief! FDA orders Juul to stop selling its vaping products in the US by @TechCrunch https://t.co/PdmVIWfFtW,Startup_Brief,2022-07-02 18:41:32+00:00,,,
470,1543303722293268481,"I do not understand the discourse over Stan Lee products. Did he ever say he didn't want anything made after he died?
Like nobody is forging his signature or recreating his likeness to sell vapes or something. 
Like what are we arguing about here?",R_E_B_R_A_N_D,2022-07-02 18:40:55+00:00,,,
471,1543303453535080450,"NEW IN STOCK!!
IVG 50:50 - Caribbean Crush 10ml

https://t.co/iGMvpNfM1G

Caribbean Crush - Totally tropical taste full of Pineapple, Grapefruit &amp; Sunshine.

 #vaping #vapeuk #vapenl https://t.co/XMXlQyL8rW",DampFabriek,2022-07-02 18:39:51+00:00,,,
472,1543302761898549251,Whys this vape giving me a headache lmfao omg,B4BYKIII,2022-07-02 18:37:06+00:00,,,
473,1543302512572334080,i wish i had vape,INTAK1E,2022-07-02 18:36:06+00:00,,,
474,1543302444565905408,What city need a vape store??,tysh0n_,2022-07-02 18:35:50+00:00,-80.501997,33.863735,"Sumter, SC"
475,1543302311736479744,i had tierra ass twapping the vape 😂😂,gabieswvrld,2022-07-02 18:35:18+00:00,,,
476,1543302124632768513,"once i'm able to consistently vape without going into coughing fits, it's gonna be so cool #emily",barbabun,2022-07-02 18:34:34+00:00,,,
477,1543302040574574592,Best thing I’ve done since moving is get back in the gym and quit vaping. I feel so much better now especially in this climate,jordanth09,2022-07-02 18:34:14+00:00,,,
478,1543302010979713032,"Unmissable! Check out this Adventure Unisex T-Shirt only at $25.75. 
https://t.co/OeH1nAwNlY
#writersofig #vapers https://t.co/IyLMbxlR54",IncerityCo,2022-07-02 18:34:07+00:00,,,
479,1543301883724439558,Y'all my dad grabbed my vape thinking it was my new car keys and now I basically want to die. I've hidden it for years and we didn't even talk about it after my mum told him. https://t.co/R3CUJST6aq,caindo__,2022-07-02 18:33:36+00:00,,,
480,1543301728778403840,why is everyone vaping all of a sudden,isitwhatitis_,2022-07-02 18:32:59+00:00,,,
481,1543301678698442752,my vape babe blow those smoke rings in my mouth,defsuhs,2022-07-02 18:32:48+00:00,,,
482,1543301483885723657,Uwell Valyrian 3 Tank $24.99 - Vaping Cheap Deals https://t.co/cUhg00nMU2,vapedv8,2022-07-02 18:32:01+00:00,,,
483,1543301405435363330,My vape charger is dead and my apple tv remote needs a new battery goddamnit,rebrandedslut,2022-07-02 18:31:42+00:00,,,
484,1543301324934189063,"every nurse looks so confused when i answer no to all the ""do you vape/smoke/caffeine/drugs"" questions",oatswonder,2022-07-02 18:31:23+00:00,,,
